!Series_title	"Amyotrophic lateral sclerosis"
!Series_geo_accession	"GSE833"
!Series_status	"Public on Nov 14 2003"
!Series_submission_date	"Nov 11 2003"
!Series_last_update_date	"Jul 08 2016"
!Series_pubmed_id	"14645737"
!Series_summary	"Identification of amyotrophic lateral sclerosis (ALS) associated genes. Post mortem spinal cord grey matter from sporadic and familial ALS patients compared with controls."
!Series_summary	"Keywords: other"
!Series_type	"Expression profiling by array"
!Series_contributor	"Fernando,,Dangond"
!Series_contributor	"Robert,H,Brown"
!Series_contributor	"Steven,R,Gullans"
!Series_sample_id	"GSM6826 GSM6827 GSM6828 GSM6829 GSM6830 GSM6831 GSM6832 GSM6833 GSM6834 GSM6835 GSM6836 "
!Series_contact_name	"Fernando,,Dangond"
!Series_contact_email	"fdangond@rics.bwh.harvard.edu"
!Series_contact_phone	"617-768-8597"
!Series_contact_department	" "
!Series_contact_institute	"Brigham and Women's Hospital Laboratories"
!Series_contact_address	" "
!Series_contact_city	"Cambridge"
!Series_contact_state	"MA"
!Series_contact_zip/postal_code	"02139"
!Series_contact_country	"USA"
!Series_platform_id	"GPL80"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA87835"

!Sample_title	"Control gray matter 1"	"ALS gray matter 6 Sporadic"	"ALS gray matter 7 Sporadic"	"Control gray matter 2"	"Control gray matter 3"	"Control gray matter 4"	"ALS gray matter 1 Familial"	"ALS gray matter 2 Familial"	"ALS gray matter 3 Sporadic"	"ALS gray matter 4 Sporadic"	"ALS gray matter 5 Sporadic"
!Sample_geo_accession	"GSM6826"	"GSM6827"	"GSM6828"	"GSM6829"	"GSM6830"	"GSM6831"	"GSM6832"	"GSM6833"	"GSM6834"	"GSM6835"	"GSM6836"
!Sample_status	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"
!Sample_submission_date	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"
!Sample_last_update_date	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
!Sample_taxid_ch1	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"
!Sample_description	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"
!Sample_platform_id	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"
!Sample_contact_name	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"
!Sample_contact_email	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"
!Sample_contact_phone	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"
!Sample_contact_department	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
!Sample_contact_institute	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"
!Sample_contact_address	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
!Sample_contact_city	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"
!Sample_contact_state	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"
!Sample_contact_zip/postal_code	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"
!Sample_contact_country	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"
!Sample_supplementary_file	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"
!Sample_data_row_count	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"
!series_matrix_table_begin
"ID_REF"	"GSM6826"	"GSM6827"	"GSM6828"	"GSM6829"	"GSM6830"	"GSM6831"	"GSM6832"	"GSM6833"	"GSM6834"	"GSM6835"	"GSM6836"
"A28102_at"	2679	205	1977	4026	820	2047	1656	2779	3025	1323	2095
"AB000114_at"	845	4292	20	795	7243	347	343	500	928	20	20
"AB000115_at"	10254	7056	1759	2966	3018	1174	1912	2534	1153	948	1134
"AB000220_at"	1459	4261	749	2261	1126	2047	916	671	1935	617	480
"AB000381_s_at"	279	1409	723	533	498	688	20	20	310	43	49
"AB000409_at"	71	4931	20	779	20	580	165	660	1021	191	20
"AB000410_s_at"	20	20	20	20	20	20	20	20	20	20	20
"AB000449_at"	1392	3212	183	1288	20	323	200	194	20	251	164
"AB000450_at"	1030	20	699	8	1992	430	301	598	1062	615	1700
"AB000460_at"	7455	20942	7171	11413	16480	12140	6032	6301	11491	5045	10546
"AB000462_at"	765	20	20	3199	20	20	57	118	20	185	20
"AB000464_at"	2030	8069	1409	6977	3005	1795	1986	667	3551	1319	3185
"AB000466_at"	20	20	20	20	20	20	20	20	20	20	20
"AB000467_at"	20	20	20	20	20	20	20	20	20	20	20
"AB000468_at"	1114	9707	2195	571	3270	6895	8153	2885	3128	2454	1800
"AB000584_at"	719	9855	20	140	3531	1910	62	1330	20	20	20
"AB000816_s_at"	20	20	20	303	247	20	20	20	20	20	20
"AB000895_at"	2588	20	20	20	20	20	20	20	20	20	20
"AB000896_at"	20	2615	207	20	2397	893	20	20	750	465	20
"AB000897_at"	226	4291	20	458	585	184	93	176	426	193	20
"AB000905_at"	601	7913	660	2134	2361	1115	411	611	762	271	224
"AB001106_at"	7631	8529	2073	13999	12002	9074	7558	10456	7935	6826	4513
"AB001325_at"	5199	18239	4322	7523	7651	5568	2657	3519	4138	2621	2514
"AB002314_at"	4829	7736	165	631	40	966	447	199	568	600	20
"AB002315_at"	2406	5238	3108	1644	3572	1688	498	1546	616	568	615
"AB002318_at"	4896	1424	1873	5791	8315	5817	2036	4385	7950	2655	7137
"AB002332_at"	1143	3018	527	1614	3066	1863	41	1321	921	819	1881
"AB002356_s_at"	4224	7933	4774	4767	3996	4536	924	2485	1787	3316	1833
"AB002365_at"	4401	5153	2950	2232	11960	6796	5938	2228	8227	3729	5400
"AB002366_at"	366	20	659	549	990	649	334	20	1528	553	112
"AB002380_at"	754	3363	679	660	694	1147	1718	1181	2050	1129	755
"AB002382_at"	3963	5593	3565	6469	6279	2294	5372	2814	6832	3337	2666
"AB002409_at"	281	20	285	1270	20	20	20	4	20	20	20
"AB002533_at"	22677	77417	26317	28386	36775	27497	34593	29322	44408	28785	57669
"AB002559_at"	1626	20645	5702	2636	7762	4430	2691	3515	3816	2612	5004
"AB003102_at"	2796	3067	2484	2336	3593	2095	2559	1891	4220	2586	2433
"AB003103_at"	1118	3648	682	523	1098	1442	1848	235	2695	631	661
"AB003177_at"	3717	11415	2433	2396	2305	3830	2628	2779	4123	2376	2692
"AB003698_at"	714	6638	314	1825	849	496	379	356	963	384	527
"AB004884_at"	3638	4210	2164	3966	1944	2174	3653	1487	2394	1265	2164
"AB005535_s_at"	20	519	20	85	149	20	207	84	20	20	193
"AB006190_at"	3986	8613	3349	4952	4433	3401	1629	2907	3810	1293	1493
"AB006781_s_at"	767	2046	790	506	360	20	303	84	102	532	588
"AB006782_at"	11117	29562	16525	10503	14387	7878	11005	20133	13576	13176	19313
"AC000061_cds2_at"	1216	7112	1952	1817	2486	2596	1195	626	4392	386	1020
"AC000061_cds3_at"	20	783	20	20	1978	20	20	20	20	20	20
"AC000062_at"	2	1848	161	71	567	411	20	20	20	20	20
"AC000063_s_at"	20	2786	1667	1171	20	20	286	23	729	325	728
"AC000064_cds1_at"	935	7371	1791	1130	3090	2745	2958	1752	2443	2383	2566
"AC000064_cds2_at"	1342	10189	553	2104	2260	206	504	410	679	20	92
"AC000066_at"	67	5158	20	20	20	287	20	20	20	20	20
"AC000099_at"	2167	6389	252	3782	3369	2449	582	425	1068	152	20
"AC000115_cds1_at"	20	6237	20	20	412	226	163	556	666	15	20
"AC002045_xpt1_at"	491	736	485	280	1453	392	452	1141	1093	310	422
"AC002045_xpt2_s_at"	6950	8847	7480	4471	4977	4048	2055	5213	5869	6466	7100
"AC002073_cds1_at"	368	20	2386	20	1921	1021	740	903	150	251	575
"AC002076_cds2_at"	20	20	20	20	20	20	20	20	20	20	20
"AC002077_at"	20	20	20	20	20	20	973	20	205	20	20
"AC002086_at"	20	3827	36	124	20	80	20	190	20	20	403
"AC002115_cds1_at"	17096	19435	13495	17282	19933	20330	40183	15817	31147	21102	31931
"AC002115_cds3_at"	528	7339	3296	2574	3264	1861	2611	2610	2469	1068	2658
"AC002115_cds4_at"	20	317	20	20	20	20	20	20	20	20	20
"AC002115_rna2_at"	2313	4648	1654	1183	20	828	2456	3880	2430	903	2570
"AC002450_at"	39	2786	20	20	20	23	20	20	66	20	20
"AC002464_at"	20	2076	20	20	20	20	20	20	20	20	20
"AC002477_s_at"	238	3677	1654	611	1754	2000	780	1029	670	1072	669
"AC002486_at"	20	8524	1453	750	2814	1203	659	517	742	216	316
"AD000092_cds1_at"	1417	6260	20	1684	8795	6762	2335	665	3902	1275	1602
"AD000092_cds2_at"	20	3103	20	20	20	20	20	20	20	20	20
"AD000092_cds7_s_at"	20	20	20	20	20	20	1075	1251	1349	1030	20
"AD000684_cds1_at"	20	20	20	20	20	20	387	638	20	148	20
"AD001527_cds1_at"	934	20	630	1014	1400	340	432	354	363	106	20
"AF000177_at"	759	148	59	20	20	452	2534	860	1911	676	174
"AF000231_at"	775	1035	485	634	1135	107	1015	449	667	290	256
"AF000234_at"	20	20	20	20	20	20	799	413	20	20	20
"AF000424_s_at"	20	417	20	20	20	20	238	56	20	20	1229
"AF000430_at"	391	1579	20	20	1700	567	20	20	109	20	20
"AF000545_at"	273	8755	20	445	4171	1529	20	20	20	20	20
"AF000560_at"	20	8430	20	1629	20	1178	1761	811	1694	251	20
"AF000562_at"	6074	9474	2923	11051	3051	3369	5010	2003	4168	2127	6948
"AF000573_rna1_at"	20	1146	20	20	20	20	20	20	20	20	20
"AF000959_at"	6819	3558	1717	19815	4226	2178	17244	8649	38505	19199	6638
"AF001294_at"	616	4234	20	654	5872	2981	2620	1818	1980	540	2528
"AF001359_f_at"	6150	20	1716	6334	3234	2051	2708	1874	7909	4536	8425
"AF001548_rna1_at"	744	908	1626	1270	3970	2863	1552	2749	1532	1345	1581
"AF001620_at"	20	2580	20	20	20	20	20	410	385	201	195
"AF001787_s_at"	20	20	20	20	20	20	20	20	20	20	20
"AF002020_at"	4997	3406	2882	4368	4540	2591	5025	1980	6456	3337	3886
"AF002224_at"	20	2255	1969	20	20	20	2446	1094	2809	948	1541
"AF002700_at"	2068	12124	413	2684	4999	2158	1544	1196	2545	546	1188
"AF003743_at"	3482	9869	2016	6480	4213	512	768	1804	3199	764	1153
"AF005037_at"	657	3382	123	1316	205	368	62	602	266	20	106
"AF005043_at"	832	4700	227	919	129	700	496	1329	850	280	754
