ID_REF,GSM6827,GSM6828,GSM6832,GSM6833,GSM6834,GSM6835,GSM6836
A28102_at,205.0,1977.0,1656.0,2779.0,3025.0,1323.0,2095.0
AB000114_at,4292.0,20.0,343.0,500.0,928.0,20.0,20.0
AB000115_at,7056.0,1759.0,1912.0,2534.0,1153.0,948.0,1134.0
AB000220_at,4261.0,749.0,916.0,671.0,1935.0,617.0,480.0
AB000381_s_at,1409.0,723.0,20.0,20.0,310.0,43.0,49.0
AB000409_at,4931.0,20.0,165.0,660.0,1021.0,191.0,20.0
AB000410_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AB000449_at,3212.0,183.0,200.0,194.0,20.0,251.0,164.0
AB000450_at,20.0,699.0,301.0,598.0,1062.0,615.0,1700.0
AB000460_at,20942.0,7171.0,6032.0,6301.0,11491.0,5045.0,10546.0
AB000462_at,20.0,20.0,57.0,118.0,20.0,185.0,20.0
AB000464_at,8069.0,1409.0,1986.0,667.0,3551.0,1319.0,3185.0
AB000466_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AB000467_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AB000468_at,9707.0,2195.0,8153.0,2885.0,3128.0,2454.0,1800.0
AB000584_at,9855.0,20.0,62.0,1330.0,20.0,20.0,20.0
AB000816_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AB000895_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AB000896_at,2615.0,207.0,20.0,20.0,750.0,465.0,20.0
AB000897_at,4291.0,20.0,93.0,176.0,426.0,193.0,20.0
AB000905_at,7913.0,660.0,411.0,611.0,762.0,271.0,224.0
AB001106_at,8529.0,2073.0,7558.0,10456.0,7935.0,6826.0,4513.0
AB001325_at,18239.0,4322.0,2657.0,3519.0,4138.0,2621.0,2514.0
AB002314_at,7736.0,165.0,447.0,199.0,568.0,600.0,20.0
AB002315_at,5238.0,3108.0,498.0,1546.0,616.0,568.0,615.0
AB002318_at,1424.0,1873.0,2036.0,4385.0,7950.0,2655.0,7137.0
AB002332_at,3018.0,527.0,41.0,1321.0,921.0,819.0,1881.0
AB002356_s_at,7933.0,4774.0,924.0,2485.0,1787.0,3316.0,1833.0
AB002365_at,5153.0,2950.0,5938.0,2228.0,8227.0,3729.0,5400.0
AB002366_at,20.0,659.0,334.0,20.0,1528.0,553.0,112.0
AB002380_at,3363.0,679.0,1718.0,1181.0,2050.0,1129.0,755.0
AB002382_at,5593.0,3565.0,5372.0,2814.0,6832.0,3337.0,2666.0
AB002409_at,20.0,285.0,20.0,4.0,20.0,20.0,20.0
AB002533_at,77417.0,26317.0,34593.0,29322.0,44408.0,28785.0,57669.0
AB002559_at,20645.0,5702.0,2691.0,3515.0,3816.0,2612.0,5004.0
AB003102_at,3067.0,2484.0,2559.0,1891.0,4220.0,2586.0,2433.0
AB003103_at,3648.0,682.0,1848.0,235.0,2695.0,631.0,661.0
AB003177_at,11415.0,2433.0,2628.0,2779.0,4123.0,2376.0,2692.0
AB003698_at,6638.0,314.0,379.0,356.0,963.0,384.0,527.0
AB004884_at,4210.0,2164.0,3653.0,1487.0,2394.0,1265.0,2164.0
AB005535_s_at,519.0,20.0,207.0,84.0,20.0,20.0,193.0
AB006190_at,8613.0,3349.0,1629.0,2907.0,3810.0,1293.0,1493.0
AB006781_s_at,2046.0,790.0,303.0,84.0,102.0,532.0,588.0
AB006782_at,29562.0,16525.0,11005.0,20133.0,13576.0,13176.0,19313.0
AC000061_cds2_at,7112.0,1952.0,1195.0,626.0,4392.0,386.0,1020.0
AC000061_cds3_at,783.0,20.0,20.0,20.0,20.0,20.0,20.0
AC000062_at,1848.0,161.0,20.0,20.0,20.0,20.0,20.0
AC000063_s_at,2786.0,1667.0,286.0,23.0,729.0,325.0,728.0
AC000064_cds1_at,7371.0,1791.0,2958.0,1752.0,2443.0,2383.0,2566.0
AC000064_cds2_at,10189.0,553.0,504.0,410.0,679.0,20.0,92.0
AC000066_at,5158.0,20.0,20.0,20.0,20.0,20.0,20.0
AC000099_at,6389.0,252.0,582.0,425.0,1068.0,152.0,20.0
AC000115_cds1_at,6237.0,20.0,163.0,556.0,666.0,15.0,20.0
AC002045_xpt1_at,736.0,485.0,452.0,1141.0,1093.0,310.0,422.0
AC002045_xpt2_s_at,8847.0,7480.0,2055.0,5213.0,5869.0,6466.0,7100.0
AC002073_cds1_at,20.0,2386.0,740.0,903.0,150.0,251.0,575.0
AC002076_cds2_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AC002077_at,20.0,20.0,973.0,20.0,205.0,20.0,20.0
AC002086_at,3827.0,36.0,20.0,190.0,20.0,20.0,403.0
AC002115_cds1_at,19435.0,13495.0,40183.0,15817.0,31147.0,21102.0,31931.0
AC002115_cds3_at,7339.0,3296.0,2611.0,2610.0,2469.0,1068.0,2658.0
AC002115_cds4_at,317.0,20.0,20.0,20.0,20.0,20.0,20.0
AC002115_rna2_at,4648.0,1654.0,2456.0,3880.0,2430.0,903.0,2570.0
AC002450_at,2786.0,20.0,20.0,20.0,66.0,20.0,20.0
AC002464_at,2076.0,20.0,20.0,20.0,20.0,20.0,20.0
AC002477_s_at,3677.0,1654.0,780.0,1029.0,670.0,1072.0,669.0
AC002486_at,8524.0,1453.0,659.0,517.0,742.0,216.0,316.0
AD000092_cds1_at,6260.0,20.0,2335.0,665.0,3902.0,1275.0,1602.0
AD000092_cds2_at,3103.0,20.0,20.0,20.0,20.0,20.0,20.0
AD000092_cds7_s_at,20.0,20.0,1075.0,1251.0,1349.0,1030.0,20.0
AD000684_cds1_at,20.0,20.0,387.0,638.0,20.0,148.0,20.0
AD001527_cds1_at,20.0,630.0,432.0,354.0,363.0,106.0,20.0
AF000177_at,148.0,59.0,2534.0,860.0,1911.0,676.0,174.0
AF000231_at,1035.0,485.0,1015.0,449.0,667.0,290.0,256.0
AF000234_at,20.0,20.0,799.0,413.0,20.0,20.0,20.0
AF000424_s_at,417.0,20.0,238.0,56.0,20.0,20.0,1229.0
AF000430_at,1579.0,20.0,20.0,20.0,109.0,20.0,20.0
AF000545_at,8755.0,20.0,20.0,20.0,20.0,20.0,20.0
AF000560_at,8430.0,20.0,1761.0,811.0,1694.0,251.0,20.0
AF000562_at,9474.0,2923.0,5010.0,2003.0,4168.0,2127.0,6948.0
AF000573_rna1_at,1146.0,20.0,20.0,20.0,20.0,20.0,20.0
AF000959_at,3558.0,1717.0,17244.0,8649.0,38505.0,19199.0,6638.0
AF001294_at,4234.0,20.0,2620.0,1818.0,1980.0,540.0,2528.0
AF001359_f_at,20.0,1716.0,2708.0,1874.0,7909.0,4536.0,8425.0
AF001548_rna1_at,908.0,1626.0,1552.0,2749.0,1532.0,1345.0,1581.0
AF001620_at,2580.0,20.0,20.0,410.0,385.0,201.0,195.0
AF001787_s_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AF002020_at,3406.0,2882.0,5025.0,1980.0,6456.0,3337.0,3886.0
AF002224_at,2255.0,1969.0,2446.0,1094.0,2809.0,948.0,1541.0
AF002700_at,12124.0,413.0,1544.0,1196.0,2545.0,546.0,1188.0
AF003743_at,9869.0,2016.0,768.0,1804.0,3199.0,764.0,1153.0
AF005037_at,3382.0,123.0,62.0,602.0,266.0,20.0,106.0
AF005043_at,4700.0,227.0,496.0,1329.0,850.0,280.0,754.0
AF005361_at,2260.0,136.0,20.0,843.0,67.0,20.0,60.0
AF005775_at,7607.0,1600.0,2838.0,1652.0,3996.0,1892.0,2680.0
AF005887_at,20.0,1228.0,1476.0,1292.0,712.0,565.0,557.0
AF006041_at,11821.0,1890.0,3053.0,2705.0,6045.0,2490.0,1950.0
AF006084_at,1487.0,1417.0,2629.0,1542.0,3294.0,1367.0,1280.0
AF006087_at,3962.0,1822.0,1017.0,990.0,3982.0,2372.0,1085.0
AF006609_at,20.0,20.0,20.0,513.0,20.0,20.0,20.0
AF007111_at,3458.0,960.0,778.0,62.0,486.0,20.0,183.0
AF007551_at,5482.0,796.0,617.0,1170.0,505.0,327.0,50.0
AF007875_at,7510.0,1154.0,1818.0,1216.0,889.0,830.0,505.0
AF008445_at,5450.0,486.0,832.0,766.0,2636.0,1781.0,996.0
AF008937_at,3929.0,1741.0,290.0,864.0,738.0,431.0,3.0
AF009301_at,2871.0,470.0,3591.0,657.0,5429.0,3046.0,4960.0
AF009368_at,12211.0,6623.0,5661.0,4989.0,13250.0,7097.0,11002.0
AF009426_at,3577.0,67.0,125.0,261.0,134.0,201.0,20.0
AF009674_at,20.0,20.0,2247.0,2503.0,2139.0,20.0,20.0
AF010193_at,7142.0,2286.0,1906.0,1093.0,2959.0,2073.0,1250.0
AF012024_s_at,20.0,757.0,662.0,1734.0,1318.0,685.0,3996.0
AF012270_at,2818.0,20.0,171.0,686.0,20.0,55.0,20.0
AF014958_at,2563.0,20.0,888.0,651.0,173.0,20.0,702.0
AF015910_at,962.0,289.0,1706.0,311.0,1155.0,2172.0,2715.0
AF015913_at,3375.0,1029.0,1872.0,1611.0,989.0,1250.0,422.0
AF015950_at,20.0,20.0,20.0,20.0,228.0,20.0,20.0
AJ000099_s_at,8642.0,7391.0,5981.0,5858.0,8846.0,4863.0,7656.0
AJ000480_at,2959.0,2370.0,1548.0,2094.0,20.0,700.0,1863.0
AJ001047_at,20.0,20.0,96.0,247.0,20.0,109.0,20.0
AJ001421_at,9559.0,5619.0,5491.0,4998.0,4222.0,4579.0,2710.0
AJ001487_at,20.0,20.0,20.0,102.0,20.0,20.0,7.0
D00003_at,20.0,20.0,20.0,20.0,20.0,20.0,20.0
D00003_s_at,5.0,20.0,20.0,20.0,20.0,25.0,4.0
D00017_at,26684.0,11287.0,38203.0,33060.0,23670.0,18053.0,12218.0
D00097_s_at,1201.0,73.0,50.0,359.0,198.0,20.0,20.0
D00408_at,20.0,20.0,43.0,46.0,20.0,20.0,20.0
D00408_s_at,980.0,235.0,361.0,496.0,777.0,307.0,609.0
D00591_at,1000.0,962.0,1423.0,864.0,354.0,29.0,302.0
D00596_at,20.0,917.0,485.0,429.0,1415.0,557.0,63.0
D00632_at,19888.0,3407.0,7612.0,8408.0,2775.0,10241.0,1082.0
D00654_at,3645.0,280.0,489.0,20.0,20.0,20.0,20.0
D00723_at,2333.0,1301.0,4967.0,1631.0,4562.0,1558.0,1766.0
D00726_at,5608.0,1516.0,2075.0,1687.0,2251.0,1618.0,1736.0
D00749_s_at,6399.0,4230.0,5504.0,5752.0,4337.0,3458.0,4747.0
D00760_at,2199.0,928.0,3900.0,1428.0,2109.0,1095.0,20.0
D00761_at,4784.0,3482.0,17941.0,8483.0,5869.0,8388.0,2880.0
D00762_at,2348.0,1815.0,2477.0,1807.0,2905.0,1510.0,575.0
D00763_at,10811.0,1957.0,9615.0,3909.0,8738.0,4013.0,2416.0
D00860_at,1045.0,839.0,846.0,389.0,479.0,1265.0,1364.0
D10040_at,387.0,888.0,698.0,1025.0,837.0,2383.0,2389.0
D10202_at,71.0,954.0,685.0,1366.0,516.0,72.0,521.0
D10326_s_at,20.0,202.0,20.0,20.0,20.0,20.0,20.0
D10495_at,5832.0,2803.0,1584.0,2680.0,2697.0,1984.0,1015.0
D10511_at,1059.0,1486.0,3550.0,1401.0,2872.0,1243.0,699.0
D10522_at,2763.0,8623.0,14368.0,8620.0,9840.0,4494.0,1795.0
D10523_at,3501.0,3249.0,5898.0,4320.0,11733.0,8292.0,8029.0
D10537_s_at,19593.0,2473.0,708.0,4033.0,1234.0,1464.0,1065.0
D10656_at,2988.0,577.0,2406.0,20.0,1769.0,315.0,298.0
D10667_s_at,391.0,20.0,20.0,20.0,20.0,20.0,20.0
D10704_at,2462.0,4705.0,1410.0,1292.0,994.0,492.0,1056.0
D10922_s_at,20.0,20.0,75.0,20.0,20.0,125.0,168.0
D10923_at,3826.0,20.0,35.0,196.0,585.0,20.0,20.0
D10925_at,20.0,20.0,145.0,669.0,20.0,20.0,20.0
D10995_at,10534.0,1894.0,1179.0,578.0,1791.0,1052.0,698.0
D11086_at,5068.0,3735.0,2371.0,2378.0,4324.0,1072.0,1416.0
D11094_at,20.0,20.0,4068.0,1291.0,2405.0,2119.0,1167.0
D11139_at,246.0,812.0,587.0,255.0,1316.0,99.0,741.0
D11151_at,5197.0,343.0,528.0,306.0,20.0,331.0,20.0
D11327_s_at,1197.0,787.0,767.0,396.0,813.0,202.0,265.0
D11428_at,37625.0,15005.0,31797.0,16800.0,32382.0,19158.0,26618.0
D12485_at,853.0,592.0,516.0,317.0,1190.0,422.0,396.0
D12620_s_at,20.0,20.0,27.0,20.0,20.0,20.0,267.0
D12625_at,2451.0,362.0,20.0,255.0,20.0,16.0,20.0
D12676_at,2347.0,788.0,334.0,263.0,797.0,37.0,20.0
D12686_at,20.0,20.0,988.0,20.0,215.0,20.0,165.0
D12763_at,20.0,57.0,20.0,20.0,240.0,20.0,387.0
D12775_s_at,1078.0,1227.0,880.0,837.0,577.0,1559.0,920.0
D13118_at,25315.0,14099.0,17650.0,9607.0,21628.0,10901.0,19768.0
D13146_cds1_at,23475.0,36511.0,20453.0,19838.0,20244.0,30084.0,60798.0
D13168_at,4518.0,1995.0,1934.0,419.0,1124.0,446.0,843.0
D13264_at,948.0,3.0,312.0,352.0,283.0,52.0,359.0
D13305_at,20.0,20.0,20.0,20.0,137.0,20.0,20.0
D13315_at,888.0,4438.0,9038.0,4248.0,6843.0,4321.0,1557.0
D13370_at,6422.0,4573.0,6644.0,4000.0,6183.0,3127.0,2308.0
D13413_rna1_s_at,32926.0,20457.0,28334.0,33717.0,28770.0,35503.0,76661.0
D13435_at,2643.0,1626.0,2372.0,815.0,3661.0,1448.0,1160.0
D13540_at,1404.0,655.0,173.0,20.0,521.0,141.0,227.0
D13626_at,2534.0,20.0,39.0,194.0,20.0,124.0,257.0
D13627_at,1015.0,519.0,2552.0,1049.0,2768.0,811.0,220.0
D13628_at,1836.0,1810.0,1832.0,957.0,1478.0,634.0,631.0
D13630_at,4935.0,2615.0,4274.0,1551.0,4522.0,2092.0,2020.0
D13631_s_at,2419.0,2860.0,1202.0,1442.0,1007.0,1276.0,201.0
D13633_at,2553.0,84.0,66.0,344.0,480.0,148.0,1049.0
D13634_at,3005.0,329.0,631.0,716.0,1219.0,519.0,661.0
D13635_at,114.0,282.0,561.0,355.0,1151.0,517.0,50.0
D13636_at,4027.0,1023.0,1145.0,1452.0,703.0,1549.0,1050.0
D13637_at,3484.0,20.0,810.0,20.0,693.0,24.0,20.0
D13638_s_at,20.0,19.0,3.0,20.0,164.0,20.0,58.0
D13639_at,709.0,7228.0,10160.0,7371.0,7158.0,8698.0,3826.0
D13640_at,20.0,4558.0,4639.0,2808.0,8382.0,5244.0,10635.0
D13641_at,7128.0,4909.0,9682.0,3981.0,9170.0,6127.0,10451.0
D13642_at,20.0,20.0,20.0,20.0,298.0,20.0,20.0
D13643_at,20.0,4807.0,18928.0,3606.0,8410.0,13534.0,14288.0
D13644_at,869.0,11.0,20.0,3.0,20.0,20.0,261.0
D13645_at,706.0,20.0,20.0,20.0,20.0,20.0,20.0
D13666_s_at,20.0,62.0,20.0,208.0,20.0,49.0,259.0
D13705_s_at,8198.0,1861.0,549.0,2610.0,3086.0,2144.0,1049.0
D13720_s_at,1443.0,251.0,74.0,352.0,273.0,498.0,671.0
D13748_at,16837.0,11972.0,21876.0,13220.0,23340.0,13190.0,7712.0
D13789_at,725.0,20.0,20.0,20.0,20.0,20.0,20.0
D13814_s_at,1730.0,684.0,212.0,20.0,105.0,20.0,868.0
D13897_rna2_at,3171.0,1535.0,1087.0,48.0,757.0,506.0,2502.0
D13900_at,14677.0,18026.0,22164.0,13597.0,23343.0,15109.0,20384.0
D13969_at,20.0,20.0,20.0,20.0,299.0,20.0,20.0
D13988_at,3551.0,2989.0,2508.0,1222.0,4003.0,1866.0,539.0
D14043_at,2474.0,2533.0,8484.0,3458.0,8501.0,5936.0,7977.0
D14134_at,1068.0,20.0,116.0,20.0,133.0,20.0,20.0
