ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
A28102_at,2679.0,4026.0,820.0,2047.0
AB000114_at,845.0,795.0,7243.0,347.0
AB000115_at,10254.0,2966.0,3018.0,1174.0
AB000220_at,1459.0,2261.0,1126.0,2047.0
AB000381_s_at,279.0,533.0,498.0,688.0
AB000409_at,71.0,779.0,20.0,580.0
AB000410_s_at,20.0,20.0,20.0,20.0
AB000449_at,1392.0,1288.0,20.0,323.0
AB000450_at,1030.0,8.0,1992.0,430.0
AB000460_at,7455.0,11413.0,16480.0,12140.0
AB000462_at,765.0,3199.0,20.0,20.0
AB000464_at,2030.0,6977.0,3005.0,1795.0
AB000466_at,20.0,20.0,20.0,20.0
AB000467_at,20.0,20.0,20.0,20.0
AB000468_at,1114.0,571.0,3270.0,6895.0
AB000584_at,719.0,140.0,3531.0,1910.0
AB000816_s_at,20.0,303.0,247.0,20.0
AB000895_at,2588.0,20.0,20.0,20.0
AB000896_at,20.0,20.0,2397.0,893.0
AB000897_at,226.0,458.0,585.0,184.0
AB000905_at,601.0,2134.0,2361.0,1115.0
AB001106_at,7631.0,13999.0,12002.0,9074.0
AB001325_at,5199.0,7523.0,7651.0,5568.0
AB002314_at,4829.0,631.0,40.0,966.0
AB002315_at,2406.0,1644.0,3572.0,1688.0
AB002318_at,4896.0,5791.0,8315.0,5817.0
AB002332_at,1143.0,1614.0,3066.0,1863.0
AB002356_s_at,4224.0,4767.0,3996.0,4536.0
AB002365_at,4401.0,2232.0,11960.0,6796.0
AB002366_at,366.0,549.0,990.0,649.0
AB002380_at,754.0,660.0,694.0,1147.0
AB002382_at,3963.0,6469.0,6279.0,2294.0
AB002409_at,281.0,1270.0,20.0,20.0
AB002533_at,22677.0,28386.0,36775.0,27497.0
AB002559_at,1626.0,2636.0,7762.0,4430.0
AB003102_at,2796.0,2336.0,3593.0,2095.0
AB003103_at,1118.0,523.0,1098.0,1442.0
AB003177_at,3717.0,2396.0,2305.0,3830.0
AB003698_at,714.0,1825.0,849.0,496.0
AB004884_at,3638.0,3966.0,1944.0,2174.0
AB005535_s_at,20.0,85.0,149.0,20.0
AB006190_at,3986.0,4952.0,4433.0,3401.0
AB006781_s_at,767.0,506.0,360.0,20.0
AB006782_at,11117.0,10503.0,14387.0,7878.0
AC000061_cds2_at,1216.0,1817.0,2486.0,2596.0
AC000061_cds3_at,20.0,20.0,1978.0,20.0
AC000062_at,2.0,71.0,567.0,411.0
AC000063_s_at,20.0,1171.0,20.0,20.0
AC000064_cds1_at,935.0,1130.0,3090.0,2745.0
AC000064_cds2_at,1342.0,2104.0,2260.0,206.0
AC000066_at,67.0,20.0,20.0,287.0
AC000099_at,2167.0,3782.0,3369.0,2449.0
AC000115_cds1_at,20.0,20.0,412.0,226.0
AC002045_xpt1_at,491.0,280.0,1453.0,392.0
AC002045_xpt2_s_at,6950.0,4471.0,4977.0,4048.0
AC002073_cds1_at,368.0,20.0,1921.0,1021.0
AC002076_cds2_at,20.0,20.0,20.0,20.0
AC002077_at,20.0,20.0,20.0,20.0
AC002086_at,20.0,124.0,20.0,80.0
AC002115_cds1_at,17096.0,17282.0,19933.0,20330.0
